农业部发布3份检疫规程 称未宣告猫狗为农产品_新闻_腾讯网

兰州：狗只私屠滥宰无检疫 监管出现盲区(图)-狗肉-每日甘肃-甘肃

肉贩称99%的狗是药死的 狗肉销售谁来检疫 | 常州第一门户网 中国常州网 常州龙网 常州日报 常州晚报

收狗点卖好掉狗宰杀土狗 未检疫的狗肉上餐桌|半岛网 

公益组织指食用猫狗检疫作假 存疫病传播风险_政经频道_财新网

部分市民想领养流浪狗 业内人士：一定要检疫_新闻中心_新浪网

郑州一屠狗点无检疫证明 爱狗者救狗未能如愿_大豫网_腾讯网

屠狗黑作坊自盖检疫章卖肉 多数狗下药偷来(图)_凤凰网资讯_凤凰网

有土腥味的狗肉别吃　我国尚无屠宰狗检疫标准，狗肉过关全靠“望、闻、问、切”_新闻中心_新浪网

两只检疫犬今起机场执勤 违禁品难过狗鼻关_新浪上海

